Quote,Author
"“To see ten thousand animals untamed and not branded with the symbols of human commerce is like scaling an unconquered mountain for the first time, or like finding a forest without roads or footpaths, or the blemish of an axe. You know then what you had always been told -- that the world once lived and grew without adding machines and newsprint and brick-walled streets and the tyranny of clocks.”",Beryl Markham
"“Whether we change our lives or do nothing, we have responded. To do nothing is to do something.”",Jonathan Safran Foer
"“Humans — who enslave, castrate, experiment on, and fillet other animals — have had an understandable penchant for pretending animals do not feel pain. A sharp distinction between humans and 'animals' is essential if we are to bend them to our will, make them work for us, wear them, eat them — without any disquieting tinges of guilt or regret. It is unseemly of us, who often behave so unfeelingly toward other animals, to contend that only humans can suffer. The behavior of other animals renders such pretensions specious. They are just too much like us.”",Carl Sagan
"“I don't believe in the concept of hell, but if I did I would think of it as filled with people who were cruel to animals.”",Gary Larson
"“If ever you feel like an animal among men, be a lion.”",Criss Jami
“Love the animals: God has given them the rudiments of thought and joy untroubled.”,Fyodor Dostoyevsky
“...only someone who'd never been an animal would put up a sign saying not to feed them....”,Jonathan Safran Foer
“My favorite animal is steak.”,Fran Lebowitz
"“Humans are the only animals that have children on purpose, keep in touch (or don't), care about birthdays, waste and lose time, brush their teeth, feel nostalgia, scrub stains, have religions and political parties and laws, wear keepsakes, apologize years after an offense, whisper, fear themselves, interpret dreams, hide their genitalia, shave, bury time capsules, and can choose not to eat something for reasons of conscience. The justifications for eating animals and for not eating them are often identical: we are not them.”",Jonathan Safran Foer
"“A dog teaches a boy fidelity, perseverance, and to turn around three times before lying down.”",Robert Benchley
“It's just the way things are. Take a moment to consider this statement. Really think about it. We send one species to the butcher and give our love and kindness to another apparently for no reason other than because,Melanie Joy
"“Were the walls of our meat industry to become transparent, literally or even figuratively, we would not long continue to raise, kill, and eat animals the way we do.”",Michael Pollan
"“Animals don't know as much about jealousy as people, but they're not ignorant of it, either.”",Stephen King
"“I believe that the best way to create good living conditions for any animal, whether it's a captive animal living in a zoo, a farm animal or a pet, is to base animal welfare programs on the core emotion systems in the brain. My theory is that the environment animals live in should activate their positive emotions as much as possible, and not activate their negative emotions any more than necessary. If we get the animal's emotions rights, we will have fewer problem behaviors... All animals and people have the same core emotion systems in the brain.”",Temple Grandin
"“Intelligence is more important than strength, that is why earth is ruled by men and not by animals.”",Amit Kalantri
“Killing animals to make a fashion statement = a sickening + cold-blooded vanity.”,Jess C. Scott
"“Kinship with all creatures of the earth, sky, and water was a real and active principle. In the animal and bird world there existed a brotherly feeling that kept us safe among them... The animals had rights - the right of man's protection, the right to live, the right to multiply, the right to freedom, and the right to man's indebtedness. This concept of life and its relations filled us with the joy and mystery of living; it gave us reverence for all life; it made a place for all things in the scheme of existence with equal importance to all.”",Chief Luther Standing Bear
"“Let us remember that animals are not mere resources for human consumption. They are splendid beings in their own right, who have evolved alongside us as co-inheritors of all the beauty and abundance of life on this planet”",Marc Bekoff
"“We should always be clear that animal exploitation is wrong because it involves speciesism. And speciesism is wrong because, like racism, sexism, homophobia, anti-semitism, classism, and all other forms of human discrimination, speciesism involves violence inflicted on members of the moral community where that infliction of violence cannot be morally justified. But that means that those of us who oppose speciesism necessarily oppose discrimination against humans. It makes no sense to say that speciesism is wrong because it is like racism (or any other form of discrimination) but that we do not have a position about racism. We do. We should be opposed to it and we should always be clear about that.”",GaryLFrancione
"“As for hearing, the sloth is not so much deaf as uninterested in sound.”",Yann Martel
"“Only those few who are able to surpass their fear of death completely can fully experience the highest forms of life; not the mundane life of the mortal, but the godly life of the resurrected.”",Zeena Schreck
“..the most dangerous animal in a zoo is Man.”,Yann Martel
“Anybody who hates dogs and babies can't be all bad.”,Leo Rosten
“We can no more justify using nonhumans as human resources than we can justify human slavery. Animal use and slavery have at least one important point in common: both institutions treat sentient beings exclusively as resources of others. That cannot be justified with respect to humans; it cannot be justified with respect to nonhumans—however “humanely” we treat them.”,Gary L. Francione
"“They are all beasts of burden in a sense, ' Thoreau once remarked of animals, 'made to carry some portion of our thoughts.' Animals are the old language of the imagination; one of the ten thousand tragedies of their disappearance would be a silencing of this speech.”",Rebecca Solnit
"“More often than not, what animals require our protection from is not hurricanes or fires, but abuse at the hands of other people"".”",Julie Klam
“Platypus? I thought it was pronounced platymapus. Has it always been pronounced platypus?”,Jessica Simpson
“He could tell by the way animals walked that they were keeping time to some kind of music. Maybe it was the song in their own hearts that they walked to.”,Laura Adams Armer
"“But why must the system go to such lengths to block our empathy? Why all the psychological acrobatics? The answer is simple: because we care about animals, and we don't want them to suffer. And because we eat them. Our values and behaviors are incongruent, and this incongruence causes us a certain degree of moral discomfort. In order to alleviate this discomfort, we have three choices: we can change our values to match our behaviors, we can change our behaviors to match our values, or we can change our",Melanie Joy
