Quote,Author
"“Treat everyone with politeness and kindness, not because they are nice, but because you are.”",Roy T. Bennett
“I dream my painting and I paint my dream.”,Vincent Willem van Gogh
"“Follow your heart, listen to your inner voice, stop caring about what others think.”",Roy T. Bennett
"“No amount of regretting can change the past, and no amount of worrying can change the future.”",Roy T. Bennett
"“Life is about accepting the challenges along the way, choosing to keep moving forward, and savoring the journey.”",Roy T. Bennett
"“Understanding is the first step to acceptance, and only with acceptance can there be recovery.”",J.K. Rowling
“There are years that ask questions and years that answer.”,Zora Neale Hurston
"“You need to learn how to select your thoughts just the same way you select your clothes every day. This is a power you can cultivate. If you want to control things in your life so bad, work on the mind. That's the only thing you should be trying to control.”",Elizabeth Gilbert
"“Great things happen to those who don't stop believing, trying, learning, and being grateful.”",Roy T. Bennett
“Never lose hope. Storms make people stronger and never last forever.”,Roy T. Bennett
“Do not fear failure but rather fear not trying.”,Roy T. Bennett
"“If you treat an individual as he is, he will remain how he is. But if you treat him as if he were what he ought to be and could be, he will become what he ought to be and could be.”",Johann Wolfgang von Goethe
“Be brave to stand for what you believe in even if you stand alone.”,Roy T. Bennett
"“Always find opportunities to make someone smile, and to offer random acts of kindness in everyday life.”",Roy T. Bennett
“Do you want to know who you are? Don't ask. Act! Action will delineate and define you.”,Thomas Jefferson
"“What you do makes a difference, and you have to decide what kind of difference you want to make.”",Jane Goodall
"“You yourself, as much as anybody in the entire universe, deserve your love and affection.”",Sharon Salzberg
“Love is the absence of judgment.”,Dalai Lama XIV
"“Time doesn’t heal emotional pain, you need to learn how to let go.”",Roy T. Bennett
“Cry. Forgive. Learn. Move on. Let your tears water the seeds of your future happiness.”,Steve Maraboli
“To shine your brightest light is to be who you truly are.”,Roy T. Bennett
“Be thankful for everything that happens in your life; it’s all an experience.”,Roy T. Bennett
“Sometimes you have to lose all you have to find out who you truly are.”,Roy T. Bennett
"“The reason it hurts so much to separate is because our souls are connected. Maybe they always have been and will be. Maybe we've lived a thousand lives before this one and in each of them we've found each other. And maybe each time, we've been forced apart for the same reasons. That means that this goodbye is both a goodbye for the past ten thousand years and a prelude to what will come.”",Nicholas Sparks
"“I read once that the ancient Egyptians had fifty words for sand & the Eskimos had a hundred words for snow. I wish I had a thousand words for love, but all that comes to mind is the way you move against me while you sleep & there are no words for that.”",Brian Andreas
“You never change your life until you step out of your comfort zone; change begins at the end of your comfort zone.”,Roy T. Bennett
"“Do not let the memories of your past limit the potential of your future. There are no limits to what you can achieve on your journey through life, except in your mind.”",Roy T. Bennett
"“Stop comparing yourself to other people, just choose to be happy and live your own life.”",Roy T. Bennett
“You are not rich until you have a rich heart.”,Roy T. Bennett
“Let the improvement of yourself keep you so busy that you have no time to criticize others.”,Roy T. Bennett
"“If everybody is thinking alike, then somebody isn't thinking.”",George S. Patton
"“Ignore those that make you fearful and sad, that degrade you back towards disease and death.”",Rumi Jalalud-Din
"“For me, I am driven by two main philosophies: know more today about the world than I knew yesterday and lessen the suffering of others. You'd be surprised how far that gets you.”",Neil deGrasse Tyson
“You can't wait for inspiration. You have to go after it with a club.”,Jack London
“Do not set aside your happiness. Do not wait to be happy in the future. The best time to be happy is always now.”,Roy T. Bennett
“Believe in your infinite potential. Your only limitations are those you set upon yourself.”,Roy T. Bennett
“The soul is healed by being with children.”,Fyodor Dostoevsky
“To give pleasure to a single heart by a single act is better than a thousand heads bowing in prayer.”,Mahatma Gandhi
"“Listen with curiosity. Speak with honesty. Act with integrity. The greatest problem with communication is we don’t listen to understand. We listen to reply. When we listen with curiosity, we don’t listen with the intent to reply. We listen for what’s behind the words.”",Roy T. Bennett
“Help others without any reason and give without the expectation of receiving anything in return.”,Roy T. Bennett
"“It was only a sunny smile, and little it cost in the giving, but like morning light it scattered the night and made the day worth living.”",F. Scott Fitzgerald
“It’s your life; you don’t need someone’s permission to live the life you want. Be brave to live from your heart.”,Roy T. Bennett
“Romance is the glamour which turns the dust of everyday life into a golden haze. ”,Elinor Glyn
“The only thing standing between you and your goal is the bullshit story you keep telling yourself as to why you can't achieve it.”,Jordan Belfort
"“The more you feed your mind with positive thoughts, the more you can attract great things into your life.”",Roy T. Bennett
“Be Brave and Take Risks: You need to have faith in yourself. Be brave and take risks. You don't have to have it all figured out to move forward.”,Roy T. Bennett
“Happiness depends on your mindset and attitude.”,Roy T. Bennett
“It's hard to beat a person who never gives up.”,George Herman Ruth
"“Do what you love, love what you do, and with all your heart give yourself to it.”",Roy T. Bennett
"“Do stuff. be clenched, curious. Not waiting for inspiration's shove or society's kiss on your forehead. Pay attention. It's all about paying attention. attention is vitality. It connects you with others. It makes you eager. stay eager.”",Susan Sontag
"“When you do the right thing, you get the feeling of peace and serenity associated with it. Do it again and again.”",Roy T. Bennett
"“I've been in love before, it's like a narcotic. At first it brings the euphoria of complete surrender. The next day you want more. You're not addicted yet, but you like the sensation, and you think you can still control things.You think about the person you love for two minutes then forget them for three hours. But then you get used to that person, and you begin to be completely dependent on them. Now you think about him for three hours and forget him for two minutes. If he's not there, you feel like an addict who can't get a fix. And just as addicts steal and humiliate themselves to get what they need, you're willing to do anything for love.""- By the River Piedra I Sat Down and Wept”",Paulo Coelho
"“Once you realize you deserve a bright future, letting go of your dark past is the best choice you will ever make.”",Roy T. Bennett
"“If you believe very strongly in something, stand up and fight for it.”",Roy T. Bennett
“The outer world is a reflection of the inner world. Other people’s perception of you is a reflection of them; your response to them is an awareness of you.”,Roy T. Bennett
"“When someone tells me ""no,"" it doesn't mean I can't do it, it simply means I can't do it with them.”",Karen E. Quinones Miller
"“I have been and still am a seeker, but I have ceased to question stars and books; I have begun to listen to the teaching my blood whispers to me.”",Hermann Hesse
“Our wounds are often the openings into the best and most beautiful part of us.”,David Richo
"“You can search throughout the entire universe for someone who is more deserving of your love and affection than you are yourself, and that person is not to be found anywhere. You, yourself, as much as anybody in the entire universe, deserve your love and affection.”",Sharon Salzberg
"“Always remember people who have helped you along the way, and don’t forget to lift someone up.”",Roy T. Bennett
"“So comes snow after fire, and even dragons have their endings.”",J.R.R. Tolkien
"“The greatest disease in the West today is not TB or leprosy; it is being unwanted, unloved, and uncared for. We can cure physical diseases with medicine, but the only cure for loneliness, despair, and hopelessness is love. There are many in the world who are dying for a piece of bread but there are many more dying for a little love. The poverty in the West is a different kind of poverty -- it is not only a poverty of loneliness but also of spirituality. There's a hunger for love, as there is a hunger for God.”",Mother Teresa
"“The only person who can pull me down is myself, and I'm not going to let myself pull me down anymore.”",C. JoyBell C.
"“Those who contemplate the beauty of the earth find reserves of strength that will endure as long as life lasts. There is something infinitely healing in the repeated refrains of nature -- the assurance that dawn comes after night, and spring after winter.”",Rachel Carson
"“Music has always been a matter of Energy to me, a question of Fuel. Sentimental people call it Inspiration, but what they really mean is Fuel. I have always needed Fuel. I am a serious consumer. On some nights I still believe that a car with the gas needle on empty can run about fifty more miles if you have the right music very loud on the radio.”",Hunter S. Thompson
"“Why do they always teach us that it's easy and evil to do what we want and that we need discipline to restrain ourselves? It's the hardest thing in the world--to do what we want. And it takes the greatest kind of courage. I mean, what we really want.”",Ayn Rand
"“The animal merely makes a bed, which he warms with his body in a sheltered place; but man, having discovered fire, boxes up some air in a spacious apartment, and warms that, instead of robbing himself, makes that his bed, in which he can move about divested of more cumbrous clothing, maintain a kind of summer in the midst of winter, and by means of windows even admit the light and with a lamp lengthen out the day.”",Henry David Thoreau
“It's never too late to change your life for the better. You don't have to take huge steps to change your life. Making even the smallest changes to your daily routine can make a big difference to your life.”,Roy T. Bennett
"“The biggest wall you have to climb is the one you build in your mind: Never let your mind talk you out of your dreams, trick you into giving up. Never let your mind become the greatest obstacle to success. To get your mind on the right track, the rest will follow.”",Roy T. Bennett
“The problem with people is they forget that most of the time it's the small things that count.”,Jennifer Niven
"“Maturity is when you stop complaining and making excuses, and start making changes.”",Roy T. Bennett
“Smile more. Smiling can make you and others happy.”,Roy T. Bennett
“Risks must be taken because the greatest hazard in life is to risk nothing.”,Leo F. Buscaglia
“What's done is done. What's gone is gone. One of life's lessons is always moving on. It’s okay to look back to see how far you’ve come but keep moving forward.”,Roy T. Bennett
“Strong people have a strong sense of self-worth and self-awareness; they don’t need the approval of others.”,Roy T. Bennett
“I never made one of my discoveries through the process of rational thinking”,Albert Einstein
“Sometimes all a person wants is an empathetic ear; all he or she needs is to talk it out. Just offering a listening ear and an understanding heart for his or her suffering can be a big comfort.”,Roy T. Bennett
"“When the going gets tough, put one foot in front of the other and just keep going. Don’t give up.”",Roy T. Bennett
"“Everyone you meet is a part of your journey, but not all of them are meant to stay in your life. Some people are just passing through to bring you gifts; either they're blessings or lessons.”",Roy T. Bennett
“There is no dishonor in losing the race. There is only dishonor in not racing because you are afraid to lose.”,Garth Stein
"“Count your blessings, not your problems. Count your own blessings, not someone else's. Remember that jealousy is when you count someone else's blessings instead of your own.”",Roy T. Bennett
"“Stop giving other people the power to control your happiness, your mind, and your life. If you don't take control of yourself and your own life, someone else is bound to try.”",Roy T. Bennett
"“When all is said and done, more is said than done.”",Lou Holtz
"“You must not ever stop being whimsical. And you must not, ever, give anyone else the responsibility for your life.”",Mary Oliver
"“When you're at the end of your rope, tie a knot and hold on.”",Theodore Roosevelt
“All the effort in the world won't matter if you're not inspired.”,Chuck Palahniuk
"“Aerodynamically, the bumble bee shouldn't be able to fly, but the bumble bee doesn't know it so it goes on flying anyway.”",Mary Kay Ash
"“Even if I knew that tomorrow the world would go to pieces, I would still plant my apple tree.”",Martin Luther
"“If you're going to be crazy, you have to get paid for it or else you're going to be locked up.”",Hunter S. Thompson
"“The strongest people find the courage and caring to help others, even if they are going through their own storm.”",Roy T. Bennett
"“However mean your life is, meet it and live it; do not shun it and call it hard names. It is not so bad as you are. It looks poorest when you are richest. The fault-finder will find faults even in paradise. Love your life, poor as it is. You may perhaps have some pleasant, thrilling, glorious hours, even in a poorhouse.",Henry David Thoreau
“With the new day comes new strength and new thoughts.”,Eleanor Roosevelt
"“I'm not in search of sanctity, sacredness, purity; these things are found after this life, not in this life; but in this life I search to be completely human: to feel, to give, to take, to laugh, to get lost, to be found, to dance, to love and to lust, to be so human.”",C. JoyBell C.
"“Get going. Move forward. Aim High. Plan a takeoff. Don't just sit on the runway and hope someone will come along and push the airplane. It simply won't happen. Change your attitude and gain some altitude. Believe me, you'll love it up here.”",Donald Trump
