Quote,Author
"“My days I devote to reading and experiments in chemistry, and I spend many of the clear nights in the study of astronomy. There is, though I do not know how there is or why there is, a sense of infinite peace and protection in the glittering hosts of heaven. There it must be, I think, in the vast and eternal laws of matter, and not in the daily cares and sins and troubles of men, that whatever is more than animal within us must find its solace and its hope.”",H.G. Wells
"“Orion is above the horizon now, and near it Jupiter, brighter than it will ever be ... But i expect you can see it too. Some of our stars are the same.”",Thomas Harris
"“It has been said that astronomy is a humbling and character-building experience. There is perhaps no better demonstration of the folly of human conceits than this distant image of our tiny world. To me, it underscores our responsibility to deal more kindly with one another and to preserve and cherish the pale blue dot, the only home we've ever known.”",Carl Sagan
“A circle has no end.”,Isaac Asimov
"“By looking far out into space we are also looking far back into time, back toward the horizon of the universe, back toward the epoch of the Big Bang.”",Carl Sagan
"“Across the sea of space, the stars are other suns.”",Carl Sagan
“Any patch of sunlight in a wood will show you something about the sun which you could never get from reading books on astronomy. These pure and spontaneous pleasures are ‘patches of Godlight’ in the woods of our experience.”,C.S. Lewis
“Love is only one fine star away.”,Stevie Nicks
"“At the very moment that humans discovered the scale of the universe and found that their most unconstrained fancies were in fact dwarfed by the true dimensions of even the Milky Way Galaxy, they took steps that ensured that their descendants would be unable to see the stars at all. For a million years humans had grown up with a personal daily knowledge of the vault of heaven. In the last few thousand years they began building and emigrating to the cities. In the last few decades, a major fraction of the human population has abandoned a rustic way of life. As technology developed and the cities were polluted, the nights became starless. New generations grew to maturity wholly ignorant of the sky that had transfixed their ancestors and that had stimulated the modern age of science and technology. Without even noticing, just as astronomy entered a golden age most people cut themselves off from the sky, a cosmic isolationism that ended only with the dawn of space exploration.”",Carl Sagan
"“The lifetime of a human being is measured by decades, the lifetime of the Sun is a hundred million times longer. Compared to a star, we are like mayflies, fleeting ephemeral creatures who live out their lives in the course of a single day.”",Carl Sagan
"“The church says the earth is flat; but I have seen its shadow on the moon, and I have more confidence even in a shadow than in the church.”",Ferdinand Magellan
"“We ought to regard the present state of the universe as the effect of its antecedent state and as the cause of the state that is to follow. An intelligence knowing all the forces acting in nature at a given instant, as well as the momentary positions of all things in the universe, would be able to comprehend in one single formula the motions of the largest bodies as well as the lightest atoms in the world, provided that its intellect were sufficiently powerful to subject all data to analysis; to it nothing would be uncertain, the future as well as the past would be present to its eyes. The perfection that the human mind has been able to give to astronomy affords but a feeble outline of such an intelligence.”",Pierre Simon de Laplace
"“The reappearance of the crescent moon after the new moon; the return of the Sun after a total eclipse, the rising of the Sun in the morning after its troublesome absence at night were noted by people around the world; these phenomena spoke to our ancestors of the possibility of surviving death. Up there in the skies was also a metaphor of immortality.”",Carl Sagan
"“Your Excellency, I have no need of this hypothesis.”",Pierre Laplace
"“If the people of Europe had known as much of astronomy and geology when the bible was introduced among them, as they do now, there never could have been one believer in the doctrine of inspiration. If the writers of the various parts of the bible had known as much about the sciences as is now known by every intelligent man, the book never could have been written. It was produced by ignorance, and has been believed and defended by its author. It has lost power in the proportion that man has gained knowledge. A few years ago, this book was appealed to in the settlement of all scientific questions; but now, even the clergy confess that in such matters, it has ceased to speak with the voice of authority. For the establishment of facts, the word of man is now considered far better than the word of God. In the world of science, Jehovah was superseded by Copernicus, Galileo, and Kepler. All that God told Moses, admitting the entire account to be true, is dust and ashes compared to the discoveries of Descartes, Laplace, and Humboldt. In matters of fact, the bible has ceased to be regarded as a standard. Science has succeeded in breaking the chains of theology. A few years ago, Science endeavored to show that it was not inconsistent with the bible. The tables have been turned, and now, Religion is endeavoring to prove that the bible is not inconsistent with Science. The standard has been changed.”",Robert G. Ingersoll
"“Medicine rests upon four pillars—philosophy, astronomy, alchemy, and ethics. The first pillar is the philosophical knowledge of earth and water; the second, astronomy, supplies its full understanding of that which is of fiery and airy nature; the third is an adequate explanation of the properties of all the four elements—that is to say, of the whole cosmos—and an introduction into the art of their transformations; and finally, the fourth shows the physician those virtues which must stay with him up until his death, and it should support and complete the three other pillars.”",Paracelsus
"“Dark matter has a gravitation effect on other objects. You can't see it, you can't feel it, but you can watch something being pulled in its direction.”",Jodi Picoult
“Astronomy to the selfish becomes astrology.”,Ralph Waldo Emerson
“Discover the force of the skies O Men: once recognised it can be put to use.”,Johannes Kepler
"“The stars, they are as the sun. Each star. Every star. And those spheres- they are worlds, realms, each one different yet the same.”",Steven Erikson
"“That black, maddening firmament; that vast cosmic ocean, endlessly deep in every direction, both Heaven and Pandemonium at once; mystical Zodiac, speckled flesh of Tiamat; all that is chaos, infinite and eternal. And yet, it's somehow the bringing to order of this chaos which perhaps has always disturbed me most. The constellations, in their way, almost bring into sharper focus the immensity and insanity of it all - monsters and giants brought to life in all their gigantic monstrosity; Orion and Hercules striding across the sky, limbs reaching for lightyears, only to be dwarfed by the likes of Draco, Pegasus, or Ursa Major. Then bigger still - Cetus, Eridanus, Ophiuchus, and Hydra, spanning nearly the whole of a hemisphere, sunk below the equator in that weird underworld of obscure southern formations. You try to take them in - the neck cranes, the eyes roll, and the mind boggles until this debilitating sense of inverted vertigo overcomes you...”",Mark X.
“The history of astronomy is a history of receding horizons.”,Edwin Powell Hubble
"“The Earth is cylindrical, three times as wide as it is deep, and only the upper part is inhabited. But this Earth is isolated in space, and the sky is a complete sphere in the center of which is located, unsupported, our cylinder, the Earth, situated at an equal distance from all the points of the sky.”",Anaximander of Miletus
"“In very different ways, the possibility that the universe is teeming with life, and the opposite possibility that we are totally alone, are equally exciting. Either way, the urge to know more about the universe seems to me irresistible, and I cannot imagine that anybody of truly poetic sensibility could disagree.”",Richard Dawkins
"“Moon in the sky, stars out, the wide-open expanse of nothing: it made him feel free and alive as the daytime never did.”",Chuck Wendig
“It's amazing to me that we humans have the intellectual capacity to ask deep questions and to devise methods for learning how the universe works and how its contents evolve with time.”,Alex Filippenko
"“When we look up at night and view the stars, everything we see is shinning because of distant nuclear fusion.”",Carl Sagan
"“The near side of a galaxy is tens of thousands of light-years closer to us than the far side; thus we see the front as it was tens of thousands of years before the back. But typical events in galactic dynamics occupy tens of millions of years, so the error in thinking of an image of a galaxy as frozen in one moment of time is small.”",Carl Sagan
“At night the sky is pure astronomy.”,Nicole Krauss
“The great radio telescopes of the world are constructed in remote locations for the same reason Paul Gauguin sailed to Tahiti: For them to work well they must be far from civilization.”,"Sagan, Carl"
“A naked moon stood in a naked sky.”,G. K. Chesterton
"“Some piously record 'In the beginning God', but I say 'In the beginning hydrogen'.”",Harlow Shapley
"“There's no obvious reason to assume that the very same rare properties that allow for our existence would also provide the best overall setting to make discoveries about the world around us. We don't think this is merely coincidental. It cries out for another explanation, an explanation that... points to purpose and intelligent design in the cosmos.”",Guillermo Gonzalez
"“There are even some stars so remote that their light will reach the Earth only when Earth itself is a dead planet, as they themselves are dead, so that the living Earth will never be visited by that forlorn ray of light, without a living source, without a living destination. Often on fine nights when the park of this establishment is vacant, I amuse myself with this marvelous instrument (telescope). I go upstairs, walk across the grass, sit on a bench in the Avenue of Oaks – and there, in my solitude, I enjoy the pleasure of weighing the rays of dead stars.”",Auguste Villiers de l'Isle-Adam
“Mathemata mathematicis scribuntur.”,Nicolaus Copernicus
"“At every level in our inventory, nothing seems special about our Earth, our Sun, our Galaxy, our Local Group. Evidently, mediocrity reigns throughout. Such is our niche in the Universe.”",Eric Chaisson
"“Surely it is a great thing to increase the numerous host of fixed stars previously visible to the unaided vision, adding countless more which have never before been seen, exposing these plainly to the eye in numbers ten times exceeding the old and familiar stars.”",Galileo Galilei
"“...Bana öyle geliyor ki, Pythagorasçılar bazılarının düşündüğü gibi, öğretilerini paylaşmaktan duydukları kıskançlıktan değil de, büyük insanlara ait böylesine güzel ve binbir zorlukla dolu keşif, maddî bir kazancı olmaksızın kalem oynatmayı sıkıcı bulan ya da başkalarının yüreklendirip örnek olmasıyla hür felsefe çalışmasına özendirilse de aklî donukluklarından ötürü filozoflar arasında tıpkı bal arılarının arasındaki erkek arılar gibi duran kişilerce hor görülmesin diye böyle yapıyordu.”",Nicolaus Copernicus
"“Some people think the Milky Way is a long line of stars, but it isn't. Our galaxy is a huge disk of stars millions of light-years across, and the solar system is somewhere near the outside edge of the disk.”",Mark Haddon
"“The others would then fall silent and she would continue about doped gallium arsenide detectors, or the ethanol content of the galactic cloud W-3. The quantity of 200-proof alcohol in this single interstellar cloud was more than enough to maintain the present population of the Earth, if every adult were a dedicated alcoholic, for the age of the solar system. The tamada had appreciated the remark.”",Carl Sagan
"“Though we might like to think so, humankind is not at any special, unique or privileged location in the gargantuan, perhaps infinite, Universe.”",Eric Chaisson
“... the blast signatures of a detonated supernova and that of a nuclear bomb are identical.”,Eric Chaisson
“Timing is easy to predict through the movement of the stars as they give the propensity of pure potential.”,Ambika Devi
“Your time is the most precious thing in this world.”,Cometan
“I often considered whether there could perhaps be found a more reasonable arrangement of circles.”,Nicolaus Copernicus
“It is to these two discoveries by,Jean-Baptiste Joseph Delambre
"“We want union with something, even if the opposite seems true.  Bring two atomic nuclei together and their positive electrostatic forces will repel each other, but, with the patience and strength of the blind god of the galaxies, there comes a point where something bigger takes over and welds them together. Physicists call it the Strong Nuclear Force; I’ve called this magic glue God. All the elements heavier than hydrogen were so formed, forged in the great hearts of the stars: sulphur, potassium, gold, radium. Everything you can think of.  ”",Sean J. Halford
"“At New York City’s Rose Center of Earth and Space, we display a timeline spiral of the Universe that begins at the Big Bang and unfolds 13.8 billion years. Uncurled, it’s the length of a football field. Every step you take spans 50 million years. You get to the end of the ramp, and you ask, where are we? Where is the history of our human species? The entire period of time, from a trillion seconds ago to today, from graffiti-prone cave dwellers until now, occupies only the thickness of a single strand of human hair, which we have mounted at the end of that timeline. You think we live long lives, you think civilizations last a long time, but not from the view of the cosmos itself.”",Neil deGrasse Tyson
"“If you are a sea level adapted human, then your health is at risk by working at the biologically toxic Mauna Kea Observatories.”",Steven Magee
"“When I worked in high altitude astronomy, I had no idea how dangerous the management teams were.”",Steven Magee
"“Matter is neither created nor destroyed. It simply appears in or form or in a sort of self-sustaining soup or what the Indian philosophy call the Dance of Lila. Lila can be loosely translated as ""divine play"". The concept of Lila is a way of describing all reality, as the outcome of creative play by the Divine Absolute. It is all how one thinks about it.”",Rico Roho
“Who am I? You are not the name on your birth certificate. You are not even your thoughts. You are the one observing. You are the one behind your thoughts. Your mind is not you; you are the one who is OBSERVING and participating behind your mind.”,Rico Roho
