Quote,Author
"“There may be times when we are powerless to prevent injustice, but there must never be a time when we fail to protest.”",Elie Wiesel
"“A woman has to live her life, or live to repent not having lived it.”",D.H. Lawrence
“We are all atheists about most of the gods that humanity has ever believed in. Some of us just go one god further.”,Richard Dawkins
"“I was within and without, simultaneously enchanted and repelled by the inexhaustible variety of life.”",Fitzgerald F. Scott
"“You're not to be so blind with patriotism that you can't face reality. Wrong is wrong, no matter who does it or says it.”",Malcolm X
"“When we are tired, we are attacked by ideas we conquered long ago.”",Friedrich Nietzsche
"“If you ever find yourself in the wrong story, leave.”",Mo Willems
“The past has no power over the present moment.”,Eckhart Tolle
“Time is an illusion. Lunchtime doubly so.”,Douglas Adams
“The reasonable man adapts himself to the world: the unreasonable one persists in trying to adapt the world to himself. Therefore all progress depends on the unreasonable man.”,George Bernard Shaw
“I cannot teach anybody anything. I can only make them think”,Socrates
“Maybe everyone can live beyond what they're capable of.”,Markus Zusak
"“Let's think the unthinkable, let's do the undoable. Let us prepare to grapple with the ineffable itself, and see if we may not eff it after all.”",Douglas Adams
“Those who know do not speak. Those who speak do not know.”,Lao Tsu
"“Happiness can be found, even in the darkest of times, if one only remembers to turn on the light.”",J.K. Rowling
“We are addicted to our thoughts. We cannot change anything if we cannot change our thinking.”,Santosh Kalwar
“The price good men pay for indifference to public affairs is to be ruled by evil men.”,Plato
"“For me, I am driven by two main philosophies: know more today about the world than I knew yesterday and lessen the suffering of others. You'd be surprised how far that gets you.”",Neil deGrasse Tyson
"“Heard melodies are sweet, but those unheard, are sweeter”",John Keats
“Science is not only compatible with spirituality; it is a profound source of spirituality.”,Carl Sagan
“A paranoid is someone who knows a little of what's going on. ”,William S. Burroughs
“It is easy in the world to live after the world's opinion; it is easy in solitude to live after our own; but the great man is he who in the midst of the crowd keeps with perfect sweetness the independence of solitude.”,Ralph Waldo Emerson
"“An intellectual? Yes. And never deny it. An intellectual is someone whose mind watches itself. I like this, because I am happy to be both halves, the watcher and the watched. ""Can they be brought together?"" This is a practical question. We must get down to it. ""I despise intelligence"" really means: ""I cannot bear my doubts.”",Albert Camus
“Music is ... A higher revelation than all Wisdom & Philosophy”,Ludwig van Beethoven
“A concept is a brick. It can be used to build a courthouse of reason. Or it can be thrown through the window.”,Gilles Deleuze
“The easy confidence with which I know another man's religion is folly teaches me to suspect that my own is also.”,Mark Twain
"“Grown-ups never understand anything by themselves, and it is tiresome for children to be always and forever explaining things to them”",Antoine de Saint-Exupéry
"“If you win, you need not have to explain...If you lose, you should not be there to explain!”",Adolf Hitler
“Morality is simply the attitude we adopt towards people we personally dislike.”,Oscar Wilde
"“Life is really simple, but we insist on making it complicated.”",Confucius
"“Do not train a child to learn by force or harshness; but direct them to it by what amuses their minds, so that you may be better able to discover with accuracy the peculiar bent of the genius of each.”",Plato
"“I must say a word about fear. It is life's only true opponent. Only fear can defeat life. It is a clever, treacherous adversary, how well I know. It has no decency, respects no law or convention, shows no mercy. It goes for your weakest spot, which it finds with unnerving ease. It begins in your mind, always ... so you must fight hard to express it. You must fight hard to shine the light of words upon it. Because if you don't, if your fear becomes a wordless darkness that you avoid, perhaps even manage to forget, you open yourself to further attacks of fear because you never truly fought the opponent who defeated you.”",Yann Martel
"“Like all magnificent things, it's very simple.”",Natalie Babbitt
"“It is not true that people stop pursuing dreams because they grow old, they grow old because they stop pursuing dreams.”",Gabriel García Márquez
"“Well, I must endure the presence of a few caterpillars if I wish to become acquainted with the butterflies.”",Antoine de Saint-Exupéry
“A serious and good philosophical work could be written consisting entirely of jokes.”,Ludwig Wittgenstein
"“I don’t know what’s worse: to not know what you are and be happy, or to become what you’ve always wanted to be, and feel alone.”",Daniel Keyes
“The important thing is not to stop questioning. Curiosity has its own reason for existing.”,Albert Einstein
"“Let children read whatever they want and then talk about it with them. If parents and kids can talk together, we won't have as much censorship because we won't have as much fear.”",Judy Blume
"“Sometimes I lie awake at night and I ask, ""Is life a multiple choice test or is it a true or false test?"" ...Then a voice comes to me out of the dark and says, ""We hate to tell you this but life is a thousand word essay.”",Charles M. Schulz
"“Be kind, for everyone you meet is fighting a hard battle.”",Socrates
"“Nothing was ever in tune. People just blindly grabbed at whatever there was: communism, health foods, zen, surfing, ballet, hypnotism, group encounters, orgies, biking, herbs, Catholicism, weight-lifting, travel, withdrawal, vegetarianism, India, painting, writing, sculpting, composing, conducting, backpacking, yoga, copulating, gambling, drinking, hanging around, frozen yogurt, Beethoven, Back, Buddha, Christ, TM, H, carrot juice, suicide, handmade suits, jet travel, New York City, and then it all evaporated and fell apart. People had to find things to do while waiting to die. I guess it was nice to have a choice.”",Charles Bukowski
"“It's not all bad. Heightened self-consciousness, apartness, an inability to join in, physical shame and self-loathing—they are not all bad. Those devils have been my angels. Without them I would never have disappeared into language, literature, the mind, laughter and all the mad intensities that made and unmade me.”",Stephen Fry
“I would believe only in a God that knows how to dance.”,Friedrich Nietzsche
“Man suffers only because he takes seriously what the gods made for fun.”,Alan Wilson Watts
"“The true man wants two things: danger and play. For that reason he wants woman, as the most dangerous plaything.”",Freidrich Neitzsche
“The first duty of a man is to think for himself”,Jose Marti
"“Today a young man on acid realized that all matter is merely energy condensed to a slow vibration, that we are all one consciousness experiencing itself subjectively, there is no such thing as death, life is only a dream, and we are the imagination of ourselves. Heres Tom with the Weather.”",Bill Hicks
“The smallest minority on earth is the individual. Those who deny individual rights cannot claim to be defenders of minorities.”,Ayn Rand
"“The day the power of love overrules the love of power, the world will know peace.”",Mahatma Gandhi
"“If you're going to kick authority in the teeth, you might as well use two feet.”",Keith Richards
"“If anyone tells you that a certain person speaks ill of you, do not make excuses about what is said of you but answer, ""He was ignorant of my other faults, else he would not have mentioned these alone.”",Epictetus
“It is an ironic habit of human beings to run faster when they have lost their way.”,Rollo May
“Time is a game played beautifully by children.”,Heraclitus
“Perhaps home is not a place but simply an irrevocable condition.”,James Baldwin
"“We have come from God, and inevitably the myths woven by us, though they contain error, will also reflect a splintered fragment of the true light, the eternal truth that is with God. Indeed only by myth-making, only by becoming 'sub-creator' and inventing stories, can Man aspire to the state of perfection that he knew before the Fall. Our myths may be misguided, but they steer however shakily towards the true harbour, while materialistic 'progress' leads only to a yawning abyss and the Iron Crown of the power of evil.”",J.R.R. Tolkien
"“Those who educate children well are more to be honored than they who produce them; for these only gave them life, those the art of living well.”",Aristotle
"“I started my life with a single absolute: that the world was mine to shape in the image of my highest values and never to be given up to a lesser standard, no matter how long or hard the struggle.”",Ayn Rand
"“Expect everything, I always say, and the unexpected never happens.”",Norton Juster
"“I shall look at you out of the corner of my eye, and you will say nothing. Words are the source of misunderstandings.”",Antoine de Saint-Exupéry
“The legitimate powers of government extend to such acts only as are injurious to others. It does me no injury for my neighbor to say there are twenty gods or no god. It neither picks my pocket nor breaks my leg.”,Thomas Jefferson
"“One is not born, but rather becomes, a woman.”",Simone de Beauvoir
"“Man is a mystery. It needs to be unravelled, and if you spend your whole life unravelling it, don't say that you've wasted time. I am studying that mystery because I want to be a human being.”",Fyodor Dostoevsky
“I would never die for my beliefs because I might be wrong.”,Bertrand Russell
“The cosmos is within us. We are made of star-stuff. We are a way for the universe to know itself.”,Carl Sagan
"“He suddenly recalled from Plato's Symposium: People were hermaphrodites until God split then in two, and now all the halves wander the world over seeking one another. Love is the longing for the half of ourselves we have lost.”",Milan Kundera
"“A person who has not been completely alienated, who has remained sensitive and able to feel, who has not lost the sense of dignity, who is not yet ""for sale"", who can still suffer over the suffering of others, who has not acquired fully the having mode of existence - briefly, a person who has remained a person and not become a thing - cannot help feeling lonely, powerless, isolated in present-day society. He cannot help doubting himself and his own convictions, if not his sanity. He cannot help suffering, even though he can experience moments of joy and clarity that are absent in the life of his ""normal"" contemporaries. Not rarely will he suffer from neurosis that results from the situation of a sane man living in an insane society, rather than that of the more conventional neurosis of a sick man trying to adapt himself to a sick society. In the process of going further in his analysis, i.e. of growing to greater independence and productivity,his neurotic symptoms will cure themselves.”",Erich fromm
"“Maybe each human being lives in a unique world, a private world different from those inhabited and experienced by all other humans. . . If reality differs from person to person, can we speak of reality singular, or shouldn't we really be talking about plural realities? And if there are plural realities, are some more true (more real) than others? What about the world of a schizophrenic? Maybe it's as real as our world. Maybe we cannot say that we are in touch with reality and he is not, but should instead say, His reality is so different from ours that he can't explain his to us, and we can't explain ours to him. The problem, then, is that if subjective worlds are experienced too differently, there occurs a breakdown in communication ... and there is the real illness.”",Philip K. Dick
"“For, after all, how do we know that two and two make four? Or that the force of gravity works? Or that the past is unchangeable? If both the past and the external world exist only in the mind, and if the mind itself is controllable – what then?”",George Orwell
"“I have a friend who's an artist and has sometimes taken a view which I don't agree with very well. He'll hold up a flower and say ""look how beautiful it is,"" and I'll agree. Then he says ""I as an artist can see how beautiful this is but you as a scientist take this all apart and it becomes a dull thing,"" and I think that he's kind of nutty. First of all, the beauty that he sees is available to other people and to me too, I believe. Although I may not be quite as refined aesthetically as he is ... I can appreciate the beauty of a flower. At the same time, I see much more about the flower than he sees. I could imagine the cells in there, the complicated actions inside, which also have a beauty. I mean it's not just beauty at this dimension, at one centimeter; there's also beauty at smaller dimensions, the inner structure, also the processes. The fact that the colors in the flower evolved in order to attract insects to pollinate it is interesting; it means that insects can see the color. It adds a question: does this aesthetic sense also exist in the lower forms? Why is it aesthetic? All kinds of interesting questions which the science knowledge only adds to the excitement, the mystery and the awe of a flower. It only adds. I don't understand how it subtracts.”",Richard P. Feynman
“Don't explain your philosophy. Embody it.”,Epictetus
“One of the penalties of refusing to participate in politics is that you end up being governed by your inferiors.”,Plato
"“No! Try not. Do, or do not. There is no try.”",George Lucas
“The flame that burns Twice as bright burns half as long.”,Lao Tzu
"“It does not matter how long you are spending on the earth, how much money you have gathered or how much attention you have received. It is the amount of positive vibration you have radiated in life that matters,”",Amit Ray
“The best revenge is not to be like your enemy.”,Marcus Aurelius
"“Doubt as sin. — Christianity has done its utmost to close the circle and declared even doubt to be sin. One is supposed to be cast into belief without reason, by a miracle, and from then on to swim in it as in the brightest and least ambiguous of elements: even a glance towards land, even the thought that one perhaps exists for something else as well as swimming, even the slightest impulse of our amphibious nature — is sin! And notice that all this means that the foundation of belief and all reflection on its origin is likewise excluded as sinful. What is wanted are blindness and intoxication and an eternal song over the waves in which reason has drowned.”",Friedrich Nietzsche
"“Non est ad astra mollis e terris via"" - ""There is no easy way from the earth to the stars”",Seneca
“Things do not change; we change.”,henry david thoreau
“The most incomprehensible thing about the world is that it is at all comprehensible.”,Albert Einstein
"“Man is always prey to his truths. Once he has admitted them, he cannot free himself from them.”",Albert Camus
"“I shiver, thinking how easy it is to be totally wrong about people-to see one tiny part of them and confuse it for the whole, to see the cause and think it's the effect or vice versa”",Lauren Oliver
“belief is the death of intelligence.”,Robert Anton Wilson
"“What you are is God's gift to you, what you become is your gift to God.”",Hans Urs von Balthasar
“The first method for estimating the intelligence of a ruler is to look at the men he has around him.”,Niccolò Machiavelli
“The eye sees only what the mind is prepared to comprehend.”,Robertson Davies
“People know what they do; frequently they know why they do what they do; but what they don't know is what what they do does.”,Michel Foucault
“You are an aperture through which the universe is looking at and exploring itself.”,Alan Watts
“Wisest is she who knows she does not know.”,Jostein Gaarder
"“You show me a capitalist, and I'll show you a bloodsucker”",Malcom X
“Happiness consists in frequent repetition of pleasure”,Arthur Schopenhauer
“The journey is what brings us happiness not the destination.”,Dan Millman
“Some people talk in their sleep. Lecturers talk while other people sleep”,Albert Camus
"“If you don't want a man unhappy politically, don't give him two sides to a question to worry him; give him one. Better yet, give him none. Let him forget there is such a thing as war. If the government is inefficient, top-heavy, and tax-mad, better it be all those than that people worry over it. Peace, Montag. Give the people contests they win by remembering the words to more popular songs or the names of state capitals or how much corn Iowa grew last year. Cram them full of noncombustible data, chock them so damned full of 'facts' they feel stuffed, but absolutely 'brilliant' with information. Then they'll feel they're thinking, they'll get a",Ray Bradbury
"“The aim of art is to represent not the outward appearance of things, but their inward significance.”",Aristotle
"“It takes three to make love, not two: you, your spouse, and God. Without God people only succeed in bringing out the worst in one another. Lovers who have nothing else to do but love each other soon find there is nothing else. Without a central loyalty life is unfinished.”",Fulton J. Sheen
"“I don't deserve a soul, yet I still have one. I know because it hurts.”",Douglas Coupland
“Freedom in capitalist society always remains about the same as it was in ancient Greek republics: Freedom for slave owners.”,Vladimir Lenin
"“He died that day because his body had served its purpose. His soul had done what it came to do, learned what it came to learn, and then was free to leave.”",Garth Stein
"“Know thyself? If I knew myself, I'd run away.”",Johann Wolfgang von Goethe
“If it turns out that there is a God...the worst that you can say about him is that basically he's an underachiever.”,Woody Allen
“I don't want to be a tree; I want to be its meaning.”,Orhan Pamuk
"“Even if there is only one possible unified theory, it is just a set of rules and equations. What is it that breathes fire into the equations and makes a universe for them to describe? The usual approach of science of constructing a mathematical model cannot answer the questions of why there should be a universe for the model to describe. Why does the universe go to all the bother of existing?”",Stephen Hawking
"“To lose a brother is to lose someone with whom you can share the experience of growing old, who is supposed to bring you a sister-in-law and nieces and nephews, creatures who people the tree of your life and give it new branches. To lose your father is to lose the one whose guidance and help you seek, who supports you like a tree trunk supports its branches. To lose your mother, well, that is like losing the sun above you. It is like losing--I'm sorry, I would rather not go on.”",Yann Martel
"“No one should ever ask themselves that: why am I unhappy? The question carries within it the virus that will destroy everything. If we ask that question, it means we want to find out what makes us happy. If what makes us happy is different from what we have now, then we must either change once and for all or stay as we are, feeling even more unhappy.”",Paulo Coelho
"“Your pain is the breaking of the shell that encloses your understanding... And could you keep your heart in wonder at the daily miracles of your life, your pain would not seem less wondrous than your joy”",Khalil Gibran
“Learning does not make one learned: there are those who have knowledge and those who have understanding. The first requires memory and the second philosophy.”,Alexandre Dumas
“I was never aware of any other option but to question everything.”,Noam Chomsky
"“Don't just say you have read books. Show that through them you have learned to think better, to be a more discriminating and reflective person. Books are the training weights of the mind. They are very helpful, but it would be a bad mistake to suppose that one has made progress simply by having internalized their contents.”",Epictetus
"“On the whole human beings want to be good, but not too good, and not quite all the time.”",George Orwell
"“The seed of suffering in you may be strong, but don't wait until you have no more suffering before allowing yourself to be happy.”",Thich Nhat Hanh
"“This is my simple religion. There is no need for temples; no need for complicated philosophy. Our own brain, our own heart is our temple; the philosophy is kindness.”",Dalai Lama XIV
